Id,Location,Size,Bedrooms,Bathrooms,Year_Built,Price
100,Noida,,3.0,1.0,1998.0,2419523
101,Pune,1500sqft,2.0,1.0,,4677412
102,Pune,900sqft,,2.0,,4439467
103,Bangalore,,2.0,1.0,,4880177
104,Mumbai,1000 sqft,,2.0,2008.0,8474788
105,Bangalore,NaN,2.0,,1998.0,5053262
106,Gurgaon,1000 sqft,1.0,2.0,,5632339
107,Mumbai,1500sqft,4.0,1.0,,7583580
108,Pune,NaN,3.0,3.0,2000.0,3729614
109,Mumbai,1500sqft,,3.0,2010.0,7957473
110,Gurgaon,1000 sqft,2.0,3.0,2012.0,5354735
111,Mumbai,1200 sqft,2.0,3.0,1998.0,8528190
112,Delhi,1800 sqft,3.0,2.0,,4258792
113,Gurgaon,,3.0,2.0,2005.0,4114200
114,Bangalore,2000 sqft,,1.0,2012.0,6983191
115,Noida,2000 sqft,1.0,2.0,1998.0,3625948
116,Mumbai,1000 sqft,2.0,3.0,1995.0,8548927
117,Pune,1800 sqft,3.0,,2000.0,4847240
118,Noida,1800 sqft,3.0,1.0,2010.0,3734384
119,Noida,,2.0,3.0,2005.0,2331699
120,Mumbai,1200 sqft,3.0,1.0,1995.0,8378852
121,Bangalore,NaN,4.0,3.0,1998.0,4866742
122,Bangalore,,3.0,,2012.0,4943091
123,Gurgaon,1200 sqft,,1.0,2012.0,5526152
124,Noida,NaN,,3.0,2010.0,2272010
125,Bangalore,2000 sqft,3.0,3.0,2018.0,6881136
126,Delhi,900sqft,3.0,2.0,1998.0,3733744
127,Pune,,,3.0,2010.0,3253011
128,Pune,,3.0,1.0,2000.0,3732313
129,Delhi,,4.0,1.0,2015.0,2892143
130,Gurgaon,1500sqft,1.0,,2000.0,5042450
131,Pune,2000 sqft,3.0,1.0,2010.0,5002636
132,Delhi,800 sqft,4.0,3.0,2018.0,3919332
133,Delhi,NaN,3.0,3.0,2008.0,3208023
134,Gurgaon,1000 sqft,2.0,1.0,2008.0,5808177
135,Bangalore,800 sqft,4.0,2.0,2012.0,6254573
136,Gurgaon,,4.0,2.0,2010.0,3987327
137,Bangalore,1000 sqft,3.0,2.0,2010.0,6966497
138,Pune,1500sqft,,1.0,2000.0,4765350
139,Pune,1800 sqft,2.0,2.0,,5113164
140,Noida,1500sqft,3.0,1.0,2008.0,3382959
141,Mumbai,900sqft,3.0,1.0,1995.0,7182000
142,Mumbai,2000 sqft,1.0,1.0,2005.0,8306690
143,Bangalore,800 sqft,2.0,2.0,2008.0,6269241
144,Delhi,1000 sqft,2.0,3.0,,3964452
145,Gurgaon,,3.0,2.0,2012.0,3765544
146,Mumbai,2000 sqft,2.0,1.0,2012.0,8471598
147,Bangalore,1800 sqft,2.0,3.0,2000.0,6760257
148,Noida,,1.0,1.0,1998.0,2306926
149,Delhi,800 sqft,3.0,2.0,2015.0,3964749
150,Pune,1500sqft,3.0,2.0,2000.0,4393509
151,Noida,800 sqft,2.0,,2018.0,3371564
152,Bangalore,,2.0,2.0,2015.0,4999009
153,Pune,NaN,4.0,3.0,2008.0,3664682
154,Pune,1200 sqft,2.0,,,4688439
155,Delhi,900sqft,1.0,1.0,2005.0,3679673
156,Noida,1000 sqft,3.0,2.0,2008.0,3490889
157,Bangalore,1500sqft,3.0,2.0,1998.0,6677571
158,Bangalore,1500sqft,2.0,2.0,2015.0,6657634
159,Bangalore,,3.0,1.0,1998.0,4797630
160,Gurgaon,2000 sqft,2.0,3.0,1995.0,5385899
161,Pune,,2.0,1.0,2005.0,3320951
162,Delhi,900sqft,1.0,2.0,1995.0,3415659
163,Gurgaon,1200 sqft,3.0,3.0,2008.0,5837651
164,Pune,2000 sqft,1.0,3.0,2018.0,5086022
165,Bangalore,,3.0,1.0,2008.0,4787702
166,Mumbai,,3.0,1.0,2018.0,5975265
167,Gurgaon,NaN,3.0,3.0,1995.0,3874777
168,Delhi,,2.0,2.0,1995.0,2810629
169,Mumbai,1200 sqft,2.0,1.0,,8519541
170,Mumbai,1000 sqft,,3.0,2005.0,8243765
171,Noida,1500sqft,2.0,1.0,2015.0,3014264
172,Noida,1500sqft,3.0,1.0,2008.0,3095359
173,Pune,1500sqft,3.0,,2018.0,4351894
174,Delhi,1000 sqft,3.0,2.0,2005.0,4201639
175,Bangalore,1800 sqft,2.0,3.0,1998.0,6902353
176,Pune,NaN,3.0,3.0,1998.0,3450755
177,Noida,1500sqft,3.0,1.0,2005.0,3141235
178,Bangalore,900sqft,3.0,2.0,,5891911
179,Bangalore,2000 sqft,2.0,3.0,1995.0,7188438
180,Pune,,4.0,1.0,2008.0,3323591
181,Gurgaon,800 sqft,4.0,1.0,2012.0,5245971
182,Noida,1500sqft,4.0,1.0,2015.0,3037606
183,Bangalore,,1.0,1.0,2008.0,4966556
184,Delhi,1500sqft,3.0,2.0,2008.0,3952423
185,Gurgaon,900sqft,2.0,2.0,2000.0,4670442
186,Noida,,2.0,1.0,2018.0,2618135
187,Gurgaon,1500sqft,2.0,2.0,1995.0,5300327
188,Delhi,1800 sqft,3.0,2.0,2005.0,4183237
189,Mumbai,800 sqft,2.0,1.0,2000.0,7728100
190,Bangalore,1000 sqft,1.0,3.0,2018.0,7150037
191,Mumbai,1800 sqft,1.0,1.0,2018.0,8612443
192,Mumbai,900sqft,2.0,,1998.0,7031815
193,Bangalore,1000 sqft,,1.0,2000.0,6751474
194,Mumbai,2000 sqft,2.0,3.0,1998.0,8452472
195,Bangalore,900sqft,2.0,3.0,2018.0,5967162
196,Gurgaon,1200 sqft,2.0,2.0,2010.0,5607149
197,Noida,,3.0,1.0,1995.0,2449723
198,Noida,1800 sqft,,1.0,1998.0,3723069
199,Noida,NaN,1.0,1.0,2018.0,2734533
200,Noida,,3.0,1.0,,2376307
201,Noida,800 sqft,2.0,1.0,2015.0,3417741
202,Gurgaon,,4.0,1.0,1998.0,3987866
203,Bangalore,1000 sqft,,2.0,2010.0,6985418
204,Noida,NaN,1.0,1.0,2000.0,2316347
205,Pune,1200 sqft,2.0,3.0,2000.0,4697542
206,Pune,1500sqft,3.0,1.0,2015.0,4525446
207,Gurgaon,1000 sqft,1.0,2.0,1998.0,5374719
208,Gurgaon,1200 sqft,4.0,2.0,2010.0,5715837
209,Gurgaon,1800 sqft,,,1995.0,5692134
210,Delhi,,4.0,,1998.0,2832685
211,Delhi,NaN,3.0,3.0,1998.0,2785997
212,Bangalore,1200 sqft,4.0,3.0,,7186285
213,Noida,1000 sqft,3.0,2.0,2012.0,3308470
214,Bangalore,1000 sqft,,2.0,2012.0,6957432
215,Delhi,1200 sqft,1.0,1.0,1995.0,4138482
216,Mumbai,NaN,1.0,3.0,2005.0,5999590
217,Pune,1000 sqft,3.0,1.0,2000.0,4784358
218,Bangalore,2000 sqft,2.0,1.0,2008.0,7196396
219,Gurgaon,2000 sqft,3.0,3.0,2005.0,5604705
220,Gurgaon,1200 sqft,3.0,1.0,1995.0,5573170
221,Pune,900sqft,1.0,,2010.0,4366794
222,Gurgaon,,3.0,1.0,2000.0,3777728
223,Gurgaon,2000 sqft,2.0,1.0,1995.0,5521391
224,Gurgaon,NaN,3.0,1.0,1998.0,4157294
225,Delhi,1000 sqft,3.0,2.0,2012.0,4134500
226,Mumbai,1800 sqft,3.0,2.0,1995.0,8390473
227,Pune,1800 sqft,2.0,3.0,2008.0,4856844
228,Pune,NaN,,,,3416193
229,Bangalore,1500sqft,4.0,2.0,2012.0,6494285
230,Noida,1000 sqft,1.0,,2000.0,3396911
231,Noida,900sqft,,1.0,2012.0,3026676
232,Mumbai,1000 sqft,2.0,2.0,2015.0,8258328
233,Mumbai,1000 sqft,2.0,1.0,2015.0,8526824
234,Pune,900sqft,1.0,3.0,2008.0,4103077
235,Delhi,NaN,2.0,3.0,2010.0,3090251
236,Delhi,,4.0,1.0,,2837440
237,Bangalore,1500sqft,2.0,3.0,1995.0,6562927
238,Gurgaon,1000 sqft,3.0,3.0,2015.0,5618666
239,Mumbai,800 sqft,3.0,3.0,2010.0,7873927
240,Mumbai,1000 sqft,2.0,1.0,1995.0,8457538
241,Gurgaon,,1.0,3.0,2005.0,3848144
242,Bangalore,,2.0,2.0,2012.0,5065536
243,Pune,,2.0,3.0,1995.0,3526726
244,Bangalore,,3.0,2.0,,4873593
245,Mumbai,900sqft,2.0,1.0,2008.0,7007385
246,Mumbai,1500sqft,4.0,1.0,2010.0,7910997
247,Mumbai,2000 sqft,4.0,2.0,2015.0,8283944
248,Pune,,2.0,3.0,2005.0,3410559
249,Mumbai,900sqft,3.0,,1998.0,7159874
250,Mumbai,NaN,2.0,1.0,1995.0,5771784
251,Gurgaon,900sqft,3.0,1.0,1998.0,4560743
252,Delhi,1500sqft,,1.0,2000.0,3805131
253,Bangalore,NaN,1.0,,1995.0,4776432
254,Noida,NaN,2.0,2.0,1995.0,2638064
255,Noida,1200 sqft,3.0,2.0,2015.0,3530960
256,Noida,800 sqft,4.0,,,3219904
257,Bangalore,NaN,1.0,,1995.0,5114778
258,Delhi,,4.0,3.0,2010.0,3027850
259,Gurgaon,,3.0,2.0,2008.0,3932590
260,Bangalore,1000 sqft,,3.0,2015.0,7148451
261,Bangalore,900sqft,3.0,2.0,2005.0,6078346
262,Noida,,2.0,1.0,2005.0,2375617
263,Noida,900sqft,2.0,3.0,2010.0,2996187
264,Pune,900sqft,3.0,1.0,,4351438
265,Mumbai,800 sqft,1.0,1.0,,7620377
266,Bangalore,900sqft,1.0,2.0,1998.0,5825460
267,Noida,900sqft,3.0,,2015.0,2998594
268,Mumbai,800 sqft,2.0,1.0,2018.0,7707979
269,Bangalore,2000 sqft,1.0,2.0,2015.0,7175489
270,Bangalore,1500sqft,2.0,3.0,2000.0,6510492
271,Pune,1800 sqft,3.0,2.0,2012.0,5085740
272,Bangalore,,2.0,,2008.0,5222617
273,Mumbai,1200 sqft,3.0,,2005.0,8631097
274,Delhi,1800 sqft,3.0,1.0,2015.0,4277541
275,Noida,1800 sqft,3.0,2.0,1998.0,3316906
276,Mumbai,1500sqft,2.0,,2008.0,7785945
277,Mumbai,,,3.0,1998.0,5912649
278,Pune,2000 sqft,1.0,,1998.0,4835556
279,Gurgaon,800 sqft,3.0,2.0,2000.0,5178229
280,Delhi,1000 sqft,4.0,3.0,2012.0,4449716
281,Noida,1500sqft,2.0,1.0,2015.0,3111209
282,Noida,800 sqft,,2.0,2012.0,3399531
283,Gurgaon,1800 sqft,,,2005.0,5800034
284,Mumbai,1500sqft,,1.0,2012.0,7950447
285,Delhi,2000 sqft,2.0,2.0,2015.0,4338024
286,Gurgaon,900sqft,3.0,2.0,,4885365
287,Delhi,NaN,4.0,,2008.0,2809453
288,Pune,1200 sqft,2.0,1.0,2008.0,4702166
289,Noida,900sqft,,2.0,2012.0,2974887
290,Noida,1000 sqft,2.0,1.0,2005.0,3379706
291,Gurgaon,,4.0,,2005.0,3780143
292,Pune,1200 sqft,2.0,3.0,2015.0,4745390
293,Noida,1200 sqft,1.0,1.0,,3508269
294,Noida,800 sqft,3.0,1.0,1998.0,3339855
295,Noida,800 sqft,1.0,1.0,2012.0,3044675
296,Mumbai,,2.0,1.0,1998.0,5882139
297,Mumbai,2000 sqft,1.0,,2012.0,8516357
298,Noida,800 sqft,2.0,3.0,2010.0,3227083
299,Bangalore,800 sqft,3.0,1.0,2005.0,6599202
300,Delhi,,3.0,2.0,1995.0,3182343
301,Bangalore,1800 sqft,,,2018.0,6908318
302,Delhi,1800 sqft,1.0,,2008.0,3986419
303,Pune,1200 sqft,3.0,2.0,1998.0,4805200
304,Bangalore,1500sqft,4.0,1.0,2005.0,6676860
305,Bangalore,900sqft,,1.0,1995.0,5863739
306,Delhi,1800 sqft,,1.0,2012.0,4232985
307,Gurgaon,2000 sqft,,2.0,1998.0,5613604
308,Bangalore,NaN,4.0,2.0,1998.0,4965951
309,Delhi,1800 sqft,2.0,2.0,2010.0,4094329
310,Noida,900sqft,3.0,1.0,,2972454
311,Gurgaon,2000 sqft,3.0,2.0,2018.0,5562352
312,Bangalore,1500sqft,1.0,1.0,2010.0,6255150
313,Mumbai,2000 sqft,2.0,1.0,2012.0,8473494
314,Pune,,2.0,3.0,2005.0,3605893
315,Pune,900sqft,3.0,1.0,1998.0,4010301
316,Mumbai,1500sqft,4.0,2.0,2008.0,7840535
317,Gurgaon,,2.0,,2005.0,4101866
318,Mumbai,,1.0,1.0,2000.0,6008041
319,Noida,,3.0,3.0,2000.0,2623189
320,Gurgaon,1000 sqft,2.0,1.0,1995.0,5506954
321,Delhi,,3.0,1.0,2015.0,2872193
322,Pune,2000 sqft,3.0,2.0,2015.0,5029817
323,Gurgaon,NaN,1.0,3.0,2000.0,3982611
324,Delhi,1000 sqft,1.0,,2008.0,4339385
325,Bangalore,1200 sqft,2.0,2.0,2015.0,7168079
326,Gurgaon,1000 sqft,3.0,3.0,2015.0,5521883
327,Delhi,900sqft,3.0,,,3456006
328,Delhi,2000 sqft,1.0,,1995.0,4337724
329,Gurgaon,1500sqft,3.0,2.0,2015.0,4958081
330,Noida,NaN,2.0,1.0,2010.0,2616520
331,Pune,1800 sqft,3.0,3.0,,5084047
332,Mumbai,1500sqft,1.0,,2015.0,7683641
333,Gurgaon,,1.0,,2018.0,3752065
334,Mumbai,1500sqft,3.0,3.0,2000.0,7558060
335,Noida,2000 sqft,3.0,1.0,2015.0,3623597
336,Gurgaon,1800 sqft,3.0,,2015.0,5500069
337,Gurgaon,1500sqft,1.0,1.0,2005.0,5046809
338,Mumbai,1000 sqft,2.0,1.0,2000.0,8628343
339,Gurgaon,1200 sqft,3.0,1.0,2018.0,5695867
340,Mumbai,1800 sqft,3.0,1.0,2000.0,8432929
341,Pune,,3.0,1.0,,3377622
342,Mumbai,,3.0,3.0,2010.0,6248306
343,Mumbai,1800 sqft,2.0,3.0,2015.0,8454256
344,Gurgaon,1500sqft,,3.0,2018.0,5207656
345,Noida,900sqft,2.0,2.0,2010.0,2911751
346,Mumbai,1500sqft,3.0,1.0,1995.0,8043012
347,Pune,1200 sqft,1.0,1.0,2010.0,4757975
348,Mumbai,900sqft,3.0,2.0,,7031826
349,Gurgaon,1800 sqft,3.0,1.0,2010.0,5722379
350,Delhi,2000 sqft,4.0,1.0,2018.0,4222884
351,Noida,,1.0,2.0,1995.0,2667301
352,Delhi,2000 sqft,3.0,3.0,2000.0,4096904
353,Bangalore,1200 sqft,3.0,1.0,2000.0,6798352
354,Bangalore,,1.0,2.0,2005.0,5160388
355,Gurgaon,1000 sqft,4.0,2.0,2000.0,5642418
356,Noida,2000 sqft,3.0,1.0,2008.0,3582716
357,Mumbai,800 sqft,,2.0,1998.0,7615791
358,Gurgaon,1500sqft,3.0,,2015.0,5432897
359,Pune,,3.0,2.0,2010.0,3507987
360,Noida,1000 sqft,,1.0,2008.0,3428794
361,Gurgaon,,3.0,2.0,2018.0,3922675
362,Gurgaon,,3.0,1.0,2018.0,4155608
363,Noida,,,,1998.0,2311977
364,Mumbai,900sqft,,3.0,2012.0,7393183
365,Pune,1500sqft,3.0,1.0,2005.0,4633371
366,Pune,1500sqft,3.0,3.0,2000.0,4545621
367,Mumbai,800 sqft,4.0,1.0,2012.0,8031601
368,Mumbai,1000 sqft,3.0,3.0,2000.0,8563914
369,Pune,1000 sqft,3.0,1.0,1998.0,4790708
370,Delhi,1500sqft,3.0,2.0,2015.0,3869921
371,Pune,1200 sqft,1.0,1.0,2010.0,4838490
372,Mumbai,NaN,3.0,2.0,2000.0,5894987
373,Noida,800 sqft,1.0,1.0,2000.0,3435919
374,Mumbai,1200 sqft,,2.0,2000.0,8323253
375,Bangalore,NaN,2.0,1.0,2012.0,4991131
376,Bangalore,,4.0,2.0,2000.0,4865145
377,Gurgaon,1200 sqft,3.0,3.0,1995.0,5812526
378,Delhi,800 sqft,2.0,3.0,2008.0,3791555
379,Bangalore,1200 sqft,4.0,3.0,2012.0,7048233
380,Bangalore,1000 sqft,4.0,1.0,2018.0,6765806
381,Pune,NaN,4.0,2.0,2008.0,3458303
382,Mumbai,,3.0,1.0,1998.0,6130945
383,Delhi,,2.0,2.0,2010.0,2763182
384,Noida,1500sqft,,3.0,2008.0,3485012
385,Pune,800 sqft,,2.0,2018.0,4381428
386,Gurgaon,800 sqft,2.0,1.0,2012.0,5256787
387,Mumbai,800 sqft,4.0,1.0,2012.0,7822448
388,Delhi,NaN,,2.0,,3132275
389,Gurgaon,1000 sqft,,,2005.0,5576158
390,Gurgaon,1200 sqft,2.0,,1998.0,5833742
391,Noida,2000 sqft,3.0,2.0,2005.0,3441108
392,Mumbai,800 sqft,2.0,1.0,2000.0,7864042
393,Noida,1200 sqft,3.0,3.0,2012.0,3403271
394,Gurgaon,,1.0,,2018.0,3776791
395,Mumbai,800 sqft,4.0,1.0,1995.0,7804091
396,Gurgaon,1200 sqft,3.0,1.0,,5636889
397,Bangalore,1000 sqft,2.0,,2000.0,6955127
398,Noida,800 sqft,,1.0,1998.0,3122236
399,Mumbai,1500sqft,2.0,2.0,2000.0,7826995
400,Bangalore,,3.0,2.0,1998.0,5228369
401,Bangalore,1200 sqft,3.0,1.0,2018.0,6885910
402,Bangalore,1000 sqft,3.0,,1998.0,7243914
403,Gurgaon,1800 sqft,4.0,1.0,1998.0,5663308
404,Pune,1800 sqft,,1.0,2005.0,4795708
405,Gurgaon,NaN,3.0,,2005.0,3823384
406,Delhi,,1.0,,2010.0,2952163
407,Bangalore,1000 sqft,4.0,1.0,2012.0,6989316
408,Noida,,2.0,2.0,2015.0,2557106
409,Gurgaon,1500sqft,2.0,1.0,,4982609
410,Delhi,900sqft,3.0,1.0,2015.0,3836236
411,Delhi,1000 sqft,2.0,3.0,2018.0,4444757
412,Bangalore,,1.0,2.0,2008.0,4847260
413,Gurgaon,,,1.0,2005.0,3931175
414,Mumbai,1000 sqft,3.0,2.0,2012.0,8204861
415,Pune,2000 sqft,,2.0,2015.0,4770747
416,Noida,1200 sqft,3.0,1.0,,3480299
417,Pune,1500sqft,3.0,,2008.0,4689394
418,Mumbai,800 sqft,2.0,3.0,2018.0,7926023
419,Gurgaon,,3.0,,2012.0,3759008
420,Bangalore,1200 sqft,2.0,1.0,2010.0,7002859
421,Delhi,NaN,2.0,2.0,2012.0,3169619
422,Pune,1000 sqft,2.0,1.0,2015.0,4834936
423,Bangalore,900sqft,,,1995.0,5845716
424,Mumbai,900sqft,3.0,1.0,2018.0,6972013
425,Bangalore,,3.0,1.0,2008.0,4784517
426,Delhi,2000 sqft,1.0,,2000.0,4136079
427,Pune,2000 sqft,4.0,2.0,2015.0,5069921
428,Mumbai,900sqft,1.0,3.0,2010.0,6981676
429,Noida,,1.0,3.0,2018.0,2526269
430,Pune,1800 sqft,3.0,2.0,2012.0,4734095
431,Mumbai,900sqft,4.0,,,6995952
432,Noida,NaN,,2.0,2015.0,2553856
433,Pune,1200 sqft,2.0,1.0,2000.0,4902351
434,Bangalore,1800 sqft,,3.0,1995.0,7136542
435,Mumbai,1000 sqft,2.0,1.0,,8627759
436,Bangalore,1500sqft,3.0,1.0,,6559554
437,Bangalore,1800 sqft,4.0,1.0,2010.0,7206089
438,Bangalore,,4.0,2.0,1995.0,5230196
439,Noida,1000 sqft,4.0,2.0,,3718645
440,Mumbai,900sqft,4.0,,2015.0,7091113
441,Noida,,1.0,3.0,2015.0,2314817
442,Noida,800 sqft,2.0,,2015.0,3005138
443,Mumbai,800 sqft,,1.0,2015.0,7584686
444,Bangalore,,,2.0,2015.0,4989418
445,Noida,800 sqft,2.0,1.0,1998.0,3150326
446,Bangalore,800 sqft,2.0,1.0,2005.0,6348035
447,Delhi,,,3.0,2008.0,2818707
448,Mumbai,2000 sqft,3.0,1.0,2012.0,8354655
449,Mumbai,800 sqft,4.0,2.0,,7907752
450,Mumbai,NaN,2.0,3.0,2008.0,6234111
451,Mumbai,1500sqft,2.0,,2005.0,7618564
452,Bangalore,2000 sqft,,1.0,2015.0,7248033
453,Gurgaon,1500sqft,4.0,,2018.0,5262078
454,Delhi,,,2.0,1998.0,3194671
455,Pune,,1.0,1.0,1995.0,3663562
456,Mumbai,800 sqft,2.0,1.0,,7679509
457,Pune,800 sqft,,2.0,2008.0,4314888
458,Gurgaon,1000 sqft,2.0,3.0,1995.0,5599657
459,Mumbai,,3.0,2.0,,5825625
460,Bangalore,900sqft,3.0,2.0,2015.0,6139127
461,Bangalore,2000 sqft,3.0,2.0,2018.0,6823879
462,Pune,2000 sqft,1.0,1.0,2008.0,4946641
463,Bangalore,900sqft,3.0,2.0,2015.0,6055655
464,Bangalore,1200 sqft,,1.0,2012.0,6826787
465,Noida,1800 sqft,2.0,2.0,2015.0,3360221
466,Noida,,,2.0,1998.0,2463571
467,Bangalore,900sqft,1.0,2.0,2015.0,5844137
468,Delhi,1500sqft,2.0,1.0,2018.0,3925292
469,Gurgaon,,4.0,3.0,2018.0,3781084
470,Bangalore,,3.0,1.0,2000.0,4771828
471,Gurgaon,1000 sqft,2.0,2.0,2008.0,5511503
472,Mumbai,800 sqft,2.0,2.0,,7736045
473,Mumbai,2000 sqft,3.0,2.0,2018.0,8384832
474,Mumbai,1500sqft,1.0,2.0,2008.0,7995181
475,Pune,900sqft,3.0,2.0,2010.0,4003778
476,Delhi,1000 sqft,,3.0,2018.0,4070575
477,Bangalore,1200 sqft,4.0,2.0,2010.0,7005939
478,Delhi,NaN,3.0,1.0,2008.0,2820349
479,Noida,900sqft,2.0,3.0,2000.0,3179327
480,Bangalore,1200 sqft,3.0,2.0,1998.0,7147900
481,Mumbai,800 sqft,1.0,1.0,,7955879
482,Mumbai,900sqft,3.0,1.0,,7083489
483,Mumbai,800 sqft,,,2008.0,7766214
484,Noida,NaN,4.0,1.0,2005.0,2395111
485,Noida,1800 sqft,3.0,3.0,2015.0,3504600
486,Gurgaon,900sqft,3.0,2.0,1998.0,4746811
487,Delhi,2000 sqft,3.0,2.0,2015.0,4335565
488,Delhi,1500sqft,4.0,,2005.0,4092281
489,Pune,,1.0,1.0,1998.0,3561786
490,Pune,1500sqft,1.0,1.0,,4365653
491,Noida,800 sqft,2.0,3.0,2008.0,3237126
492,Pune,1200 sqft,4.0,2.0,2005.0,4735720
493,Mumbai,1000 sqft,3.0,1.0,,8402973
